UUID        = 519c7bb4-12b7-4e68-9969-0fee9bf71ebb
ScanDate    = 20190813_152131
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     22155670     PULS   2825 
     22155672     PULS   2891 
     22155674     PULS   2956 
     22155676     PULS   3015 
     22155678     PULS   3070 
     22155680     PULS   3119 
     22155682     PULS   3161 
     22155684     PULS   3197 
     22155686     PULS   3227 
     22155688     PULS   3253 
     22155690     PULS   3273 
     22155692     PULS   3285 
     22155694     PULS   3295 
     22155696     PULS   3299 
     22155698     PULS   3299 
     22155700     PULS   3297 
     22155702     PULS   3288 
     22155704     PULS   3278 
     22155706     PULS   3262 
     22155708     PULS   3243 
     22155710     PULS   3220 
     22155712     PULS   3196 
     22155714     PULS   3168 
     22155716     PULS   3138 
     22155718     PULS   3106  PULS_TRIGGER
     22155720     PULS   3071 
     22155722     PULS   3036 
     22155724     PULS   3003 
     22155726     PULS   2970 
     22155728     PULS   2935 
     22155730     PULS   2902 
     22155732     PULS   2867 
     22155734     PULS   2833 
     22155736     PULS   2800 
     22155738     PULS   2769 
     22155740     PULS   2735 
     22155742     PULS   2704 
     22155744     PULS   2674 
     22155746     PULS   2643 
     22155748     PULS   2611 
     22155750     PULS   2581 
     22155752     PULS   2550 
     22155754     PULS   2518 
     22155756     PULS   2487 
     22155758     PULS   2455 
     22155760     PULS   2424 
     22155762     PULS   2394 
     22155764     PULS   2368 
     22155766     PULS   2340 
     22155768     PULS   2315 
     22155770     PULS   2291 
     22155772     PULS   2270 
     22155774     PULS   2249 
     22155776     PULS   2231 
     22155778     PULS   2216 
     22155780     PULS   2203 
     22155782     PULS   2191 
     22155784     PULS   2182 
     22155786     PULS   2177 
     22155788     PULS   2170 
     22155790     PULS   2165 
     22155792     PULS   2161 
     22155794     PULS   2156 
     22155796     PULS   2154 
     22155798     PULS   2153 
     22155800     PULS   2149 
     22155802     PULS   2147 
     22155804     PULS   2147 
     22155806     PULS   2146 
     22155808     PULS   2146 
     22155810     PULS   2144 
     22155812     PULS   2142 
     22155814     PULS   2142 
     22155816     PULS   2140 
     22155818     PULS   2139 
     22155820     PULS   2137 
     22155822     PULS   2133 
     22155824     PULS   2128 
     22155826     PULS   2125 
     22155828     PULS   2118 
     22155830     PULS   2111 
     22155832     PULS   2105 
     22155834     PULS   2098 
     22155836     PULS   2093 
     22155838     PULS   2088 
     22155840     PULS   2083 
     22155842     PULS   2076 
     22155844     PULS   2070 
     22155846     PULS   2065 
     22155848     PULS   2060 
     22155850     PULS   2053 
     22155852     PULS   2046 
     22155854     PULS   2037 
     22155856     PULS   2028 
     22155858     PULS   2020 
     22155860     PULS   2011 
     22155862     PULS   2000 
     22155864     PULS   1992 
     22155866     PULS   1985 
     22155868     PULS   1974 
     22155870     PULS   1965 
     22155872     PULS   1957 
     22155874     PULS   1948 
     22155876     PULS   1941 
     22155878     PULS   1934 
     22155880     PULS   1929 
     22155882     PULS   1923 
     22155884     PULS   1915 
     22155886     PULS   1909 
     22155888     PULS   1902 
     22155890     PULS   1895 
     22155892     PULS   1887 
     22155894     PULS   1881 
     22155896     PULS   1874 
     22155898     PULS   1869 
     22155900     PULS   1866 
     22155902     PULS   1860 
     22155904     PULS   1857 
     22155906     PULS   1852 
     22155908     PULS   1848 
     22155910     PULS   1846 
     22155912     PULS   1841 
     22155914     PULS   1839 
     22155916     PULS   1836 
     22155918     PULS   1834 
     22155920     PULS   1834 
     22155922     PULS   1832 
     22155924     PULS   1832 
     22155926     PULS   1832 
     22155928     PULS   1831 
     22155930     PULS   1831  ECG_TRIGGER
     22155932     PULS   1831 
     22155934     PULS   1831 
     22155936     PULS   1831 
     22155938     PULS   1831 
     22155940     PULS   1831 
     22155942     PULS   1831 
     22155944     PULS   1829 
     22155946     PULS   1831 
     22155948     PULS   1831 
     22155950     PULS   1829 
     22155952     PULS   1831 
     22155954     PULS   1831 
     22155956     PULS   1829 
     22155958     PULS   1831 
