UUID        = 519c7bb4-12b7-4e68-9969-0fee9bf71ebb
ScanDate    = 20190813_152131
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     22158562     RESP   1148 
     22158570     RESP   1106 
     22158578     RESP   1076 
     22158586     RESP   1035 
     22158594     RESP   1013 
     22158602     RESP    983 
     22158610     RESP    949 
     22158618     RESP    923 
     22158626     RESP    908 
     22158634     RESP    915 
     22158642     RESP    938 
     22158650     RESP    923 
     22158658     RESP    934 
     22158666     RESP    926 
     22158674     RESP    923 
     22158682     RESP    911 
     22158690     RESP    874 
     22158698     RESP    795 
     22158706     RESP    754 
     22158714     RESP    731 
     22158722     RESP    724 
     22158730     RESP    724 
     22158738     RESP    709 
     22158746     RESP    690 
     22158754     RESP    686 
     22158762     RESP    690 
     22158770     RESP    675 
     22158778     RESP    664 
     22158786     RESP    679 
     22158794     RESP    716 
     22158802     RESP    769 
     22158810     RESP    821 
     22158818     RESP    866 
     22158826     RESP    923 
     22158834     RESP   1005 
     22158842     RESP   1088 
     22158850     RESP   1208 
     22158858     RESP   1316 
     22158866     RESP   1418 
     22158874     RESP   1511 
     22158882     RESP   1616 
     22158890     RESP   1706 
     22158898     RESP   1800 
     22158906     RESP   1901 
     22158914     RESP   1988 
     22158922     RESP   2066 
     22158930     RESP   2183 
     22158938     RESP   2280 
     22158946     RESP   2374 
     22158954     RESP   2464 
     22158962     RESP   2531 
     22158970     RESP   2633 
     22158978     RESP   2723 
     22158986     RESP   2809 
     22158994     RESP   2891 
     22159002     RESP   2974 
     22159010     RESP   3049 
     22159018     RESP   3128 
     22159026     RESP   3210 
     22159034     RESP   3296 
     22159042     RESP   3390 
     22159050     RESP   3491 
     22159058     RESP   3604 
     22159066     RESP   3683 
     22159074     RESP   3720 
     22159082     RESP   3739 
     22159090     RESP   3758 
     22159098     RESP   3795 
     22159106     RESP   3821 
     22159114     RESP   3870 
     22159122     RESP   3938 
     22159130     RESP   4001 
     22159138     RESP   4065 
     22159146     RESP   4095 
     22159154     RESP   4095 
     22159162     RESP   4095 
     22159170     RESP   4095 
     22159178     RESP   4095 
     22159186     RESP   4095 
     22159194     RESP   4095 
     22159202     RESP   4095 
     22159210     RESP   4095 
     22159218     RESP   4065 
     22159226     RESP   3986 
     22159234     RESP   3908 
     22159242     RESP   3848 
     22159250     RESP   3765 
     22159258     RESP   3720 
     22159266     RESP   3668 
     22159274     RESP   3619 
     22159282     RESP   3570 
     22159290     RESP   3503 
     22159298     RESP   3409 
     22159306     RESP   3330 
     22159314     RESP   3244 
     22159322     RESP   3161 
     22159330     RESP   3079 
     22159338     RESP   2993 
     22159346     RESP   2910 
     22159354     RESP   2835 
     22159362     RESP   2779 
     22159370     RESP   2711 
     22159378     RESP   2636 
     22159386     RESP   2561 
     22159394     RESP   2490 
     22159402     RESP   2415 
     22159410     RESP   2363 
     22159418     RESP   2306 
     22159426     RESP   2276 
     22159434     RESP   2246 
     22159442     RESP   2186 
     22159450     RESP   2141 
     22159458     RESP   2074 
     22159466     RESP   1999 
     22159474     RESP   1916 
     22159482     RESP   1819 
     22159490     RESP   1714 
     22159498     RESP   1643 
     22159506     RESP   1598 
     22159514     RESP   1541 
